"x" "x.1"
-1 0.017043408
-0.99590828 0.025827103
-0.99507289 0.0075970148
-0.99275712 0.029594221
-0.99179466 0.0069427692
-0.98877646 0.0010834959
-0.98728905 0.035392668
-0.98180276 0.041376488
-0.98094036 0.042216589
-0.98047056 0.042819779
-0.97981575 0.043519779
-0.97952537 0.043859915
-0.97815986 0.045104305
-0.97133276 0.051998558
-0.9570576 -0.031992041
-0.95362132 -0.035592514
-0.9531 -0.036123986
-0.95287701 -0.036352188
-0.94867316 0.010324255
-0.9483504 -0.040673626
-0.94821798 -0.041138027
-0.94813879 -0.041161653
-0.94712628 -0.042189074
-0.94567687 -0.043047108
-0.94243554 -0.046880502
-0.94044692 -0.048973271
-0.93889538 -0.050053334
-0.93150218 -0.058423687
-0.9311865 0.040131887
-0.91907957 -0.069847127
-0.91370352 0.090845951
-0.91319202 0.086782953
-0.91308371 -0.077761411
-0.91232954 -0.078545518
-0.90926636 0.093169364
-0.90745868 0.094555683
-0.90630701 0.10238992
-0.90612944 -0.08498005
-0.9057484 0.096842073
-0.90495355 0.10177943
-0.9045605 0.097065998
-0.90440208 0.096423003
-0.90404715 0.097342266
-0.90382868 0.096667242
-0.90280585 0.10027542
-0.9012557 0.10364478
-0.90110252 0.088452242
-0.90055517 0.10368171
-0.89963099 0.070537028
-0.89857334 -0.085636811
-0.89798531 -0.093358877
-0.89608056 -0.095239195
-0.89547214 -0.095717758
-0.89309299 -0.098090289
-0.8906096 -0.10072645
-0.88844846 0.093948154
-0.88811598 -0.10270757
-0.88494441 -0.10051584
-0.88320998 -0.10166157
-0.88247793 -0.10121358
-0.88232945 -0.10130278
-0.88185554 -0.10094133
-0.88163618 -0.1013164
-0.8815145 0.091716724
-0.88124271 -0.10654521
-0.88044387 -0.10434086
-0.87868788 -0.10648791
-0.87793533 -0.1062753
-0.87585863 -0.10821837
-0.87548749 -0.11657427
-0.87378091 -0.11212881
-0.87350197 -0.056314701
-0.87213642 0.1505131
-0.86028154 -0.12606864
-0.85936244 -0.13189549
-0.85927675 -0.13206435
-0.85873599 -0.13252537
-0.85824115 -0.12374136
-0.85789595 -0.13337462
-0.85695492 -0.1343042
-0.8568177 -0.13447135
-0.8568176 -0.13451519
-0.85670237 -0.13629363
-0.8560477 0.1676671
-0.8560099 -0.1354886
-0.85570353 0.16664756
-0.85568369 -0.13726015
-0.85560706 -0.13743466
-0.85544114 -0.13600422
-0.85539649 -0.13759855
-0.85511901 -0.13795326
-0.85492216 -0.13813097
-0.85489788 -0.13811249
-0.85445954 -0.13855545
-0.85445014 -0.13850941
-0.85424013 -0.1388252
-0.8541717 -0.1388718
-0.85412851 -0.1388209
-0.85373037 -0.13803335
-0.8527201 -0.14016568
-0.85227927 -0.13918918
-0.85152502 0.16963298
-0.8499011 -0.14184686
-0.84948516 -0.14254001
-0.84905782 -0.14300776
-0.84882204 -0.14318377
-0.8488146 -0.009162067
-0.84814663 -0.14377963
-0.84808984 -0.14394403
-0.84786116 -0.0079193576
-0.84763057 0.17400437
-0.8476085 -0.1444619
-0.84741005 -0.0033221318
-0.84740327 -0.0032253812
-0.84735019 -0.14467166
-0.84734762 -0.0038816352
-0.8472533 0.17344124
-0.84715302 -0.0016149314
-0.84708732 -0.14393015
-0.84692586 -0.0069941106
-0.84684949 -0.0036518563
-0.84669623 -0.14553052
-0.84666149 -0.004809209
-0.84643798 -0.0062515582
-0.84621937 -0.0050130502
-0.84525758 -0.013491319
-0.84516008 -0.0067280568
-0.84506292 0.1797518
-0.8447095 0.17795496
-0.84469013 -0.013406567
-0.84453393 -0.14665963
-0.84447893 0.18012677
-0.8438218 -0.14873659
-0.84352598 -0.14933468
-0.84322756 -0.14804164
-0.84294794 0.18065939
-0.84222619 -0.14863022
-0.84188346 -0.15095625
-0.84181318 -0.15095318
-0.84176169 -0.14951325
-0.84164806 -0.15137015
-0.84152604 0.18151864
-0.84152532 0.18177235
-0.84109712 -0.15213796
-0.84100262 0.18251776
-0.84079876 -0.15251223
-0.84050862 -0.15075931
-0.83965325 -0.15169109
-0.83947998 -0.15193052
-0.83947421 -0.15395304
-0.83928579 -0.15222504
-0.83915782 0.18405172
-0.83866694 0.18474735
-0.83849585 -0.13658995
-0.8384163 -0.015586674
-0.83826233 -0.15001671
-0.83807779 -0.15405778
-0.83747711 -0.15394309
-0.83435216 -0.095341708
-0.83428172 -0.15940442
-0.83062665 -0.16275919
-0.83049449 -0.16342013
-0.82601957 -0.007634066
-0.82491925 0.028116414
-0.82049481 -0.0055772906
-0.82040812 -0.0063775143
-0.8202595 -0.010597772
-0.82022313 -0.0058843101
-0.82005201 -0.0060153469
-0.81997253 -0.0066688359
-0.81973501 -0.0075211828
-0.81972093 -0.010617227
-0.81959134 -0.0093180319
-0.81902586 -0.0064572291
-0.81776067 0.17855129
-0.81772173 -0.14817337
-0.81704413 -0.010009889
-0.81636994 -0.17821264
-0.81544061 -0.17925432
-0.81477122 0.17958361
-0.81418536 -0.18053596
-0.8139089 -0.18081456
-0.81377544 -0.18095383
-0.81324019 -0.1815042
-0.81310891 -0.18164645
-0.81294959 -0.18181555
-0.81230426 -0.1824849
-0.8123026 -0.18248377
-0.81188615 -0.18285998
-0.81121622 -0.18362512
-0.80914417 -0.093028481
-0.80762899 -0.17417275
-0.80710001 0.18765472
-0.8048647 0.14403351
-0.80351655 0.19219988
-0.79950295 -0.19492085
-0.79860273 0.20589471
-0.79742689 -0.098901882
-0.79693925 -0.099523106
-0.79685468 -0.099408913
-0.79665766 -0.10000702
-0.79663782 -0.099405762
-0.7965538 -0.10016792
-0.7964545 -0.099815648
-0.79640171 -0.09988039
-0.79634212 -0.099617588
-0.79621568 -0.19791698
-0.79621081 -0.19808533
-0.7960891 -0.099787696
-0.79603962 -0.19815688
-0.79598749 -0.09978739
-0.79594826 -0.19825925
-0.79579992 -0.10018125
-0.79579505 -0.10016346
-0.79572431 -0.1984141
-0.79526666 -0.1990075
-0.79521216 -0.09737134
-0.79513747 -0.099633423
-0.7951291 -0.1988887
-0.79509918 -0.19892976
-0.79487343 -0.19918741
-0.79470204 -0.19941368
-0.79430274 -0.19990755
-0.79423444 -0.12116685
-0.79405695 -0.20006641
-0.79347578 -0.20017054
-0.79214832 -0.20197215
-0.7909873 -0.11081589
-0.79055087 -0.11348325
-0.7905446 -0.11357402
-0.79051993 -0.11387391
-0.79049 -0.11387967
-0.79033129 -0.11400277
-0.79021922 -0.1152011
-0.79012309 -0.11453532
-0.79005207 -0.11450796
-0.78931532 -0.11308746
-0.78915661 -0.11226366
-0.78865736 -0.20660761
-0.78856926 -0.11308136
-0.78840074 -0.20448269
-0.78836768 -0.12727764
-0.78773123 -0.20758736
-0.78637692 -0.12840351
-0.78632161 0.21739001
-0.78519386 -0.12991569
-0.7848176 -0.2106602
-0.78477172 -0.11488018
-0.78383446 -0.13111738
-0.78380624 -0.13153568
-0.78354351 0.16995693
-0.78341846 -0.13309479
-0.78324067 -0.14694411
-0.78241473 -0.21283063
-0.78231406 -0.21235382
-0.78142896 -0.21391385
-0.78125175 -0.21408889
-0.78004406 -0.21540227
-0.77979208 -0.2157784
-0.77924079 -0.13537529
-0.77912322 -0.14312892
-0.77877466 -0.21682917
-0.7777778 -0.21525692
-0.77762205 -0.21800064
-0.77716965 -0.13976636
-0.77716051 0.2327786
-0.77712991 -0.2184739
-0.77611106 -0.14061271
-0.77604357 -0.13727433
-0.77602323 -0.14071012
-0.77542974 -0.1419759
-0.7753921 -0.14165378
-0.77537583 -0.14196367
-0.77518685 -0.14129426
-0.77493676 -0.13979458
-0.77490379 -0.14630537
-0.77470165 -0.12121586
-0.77457108 -0.14202114
-0.77449721 -0.14645355
-0.77343151 -0.147221
-0.77183565 -0.14997982
-0.77176498 -0.1450288
-0.77169117 0.23656311
-0.77134059 -0.14884415
-0.76994237 0.23661992
-0.76983424 -0.14872984
-0.76918611 -0.14794449
-0.76913135 -0.15004887
-0.76608368 -0.14218616
-0.7648103 -0.2062339
-0.76165893 -0.14155516
-0.76123175 -0.13820604
-0.76029355 -0.14376194
-0.75943963 -0.14512702
-0.75609775 -0.18399459
-0.75428494 -0.097477218
-0.75058451 0.26579492
-0.74802261 -0.23738363
-0.74629782 -0.20525287
-0.74456881 0.24204229
-0.73512072 0.25988606
-0.73468581 0.25901354
-0.73257935 -0.24101485
-0.73240413 -0.24575314
-0.73202877 -0.24548621
-0.73188471 -0.24532128
-0.73170016 -0.24522803
-0.73168329 -0.24623723
-0.73159357 0.26525482
-0.73150999 -0.24644439
-0.731449 -0.24600578
-0.73144833 -0.24661252
-0.73120817 -0.246782
-0.73112179 -0.24652758
-0.73061177 -0.25704007
-0.73052483 0.2626343
-0.73042307 -0.24628845
-0.73034861 -0.25766721
-0.73014679 -0.25711945
-0.73014276 -0.25714012
-0.72987009 0.26338967
-0.72985919 -0.25731378
-0.72981712 -0.25758452
-0.72981573 -0.21698427
-0.72978373 -0.25760745
-0.72958371 0.26398071
-0.72954409 -0.25853202
-0.72948098 0.2633088
-0.72937524 -0.21719242
-0.72930883 0.26380436
-0.7291846 0.26319828
-0.72897129 -0.21780125
-0.72896374 -0.25885941
-0.72894065 0.26412772
-0.72877649 0.26378415
-0.72875828 -0.25941953
-0.72874824 0.26512094
-0.72847057 -0.24633848
-0.72841718 -0.21745423
-0.72836187 -0.21821152
-0.72833514 -0.21729148
-0.72820702 0.27043642
-0.72814455 -0.26012109
-0.72810447 -0.24676832
-0.72785827 -0.24682009
-0.7278123 -0.21845028
-0.72780711 -0.21797413
-0.7277868 -0.24672373
-0.72778439 -0.21846118
-0.7276728 -0.2181291
